CubeName	MeasureGroup	MeasureName	Visible	FormatString	AggregateType	DisplayFolder	SourceTable	SourceColumn	Type
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Claims Onhand Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Order Qty	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Hand Sell Dollars	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Hand Cost Dollars	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Order Sell Dollars	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Order Cost Dollars	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Rec Markup Pct	False		Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg Unit Rec Cost	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg Unit Rec Sell	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Adj Cost Amount	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
