CubeName	MeasureGroup	MeasureName	Visible	FormatString	AggregateType	DisplayFolder	SourceTable	SourceColumn	Type
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY Comp POS Qty Equivalent Units	True		Sum		LY_STORE_FACT_COMPUTED	Comp POS Qty Equivalent Units	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY Rec Equivalent	False		Sum		LY_STORE_FACT_COMPUTED	Rec Equivalent	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DISTINCT SCI FACT CURR	Curr On Hand Club Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution	SCI_FACT_CURR	Curr On Hand Club Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Club Current Inventory Count	True	#,###	Count		SCI_FACT_CURR		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Hand Cases	True		Sum		SCI_FACT_CURR	Curr On Hand Cases	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Hand Cost Dollars	True		Sum		SCI_FACT_CURR	Curr On Hand Cost Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Hand Qty	True		Sum		SCI_FACT_CURR	Curr On Hand Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Hand Sell Dollars	True		Sum		SCI_FACT_CURR	Curr On Hand Sell Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Order Cases	True		Sum		SCI_FACT_CURR	Curr On Order Cases	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Order Cost Dollars	True		Sum		SCI_FACT_CURR	Curr On Order Cost Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Order Qty	True		Sum		SCI_FACT_CURR	Curr On Order Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr On Order Sell Dollars	True		Sum		SCI_FACT_CURR	Curr On Order Sell Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT CURR	Curr Onsite Onhand Qty	True		Sum		SCI_FACT_CURR	Curr Onsite Onhand Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT ARCHIVED	Archived On Hand Cost Dollars Ending	True		LastNonEmpty		SCI_FACT_ARCHIVED	Archived On Hand Cost Dollars Ending	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT ARCHIVED	Archived On Hand Qty Ending	True		LastNonEmpty		SCI_FACT_ARCHIVED	Archived On Hand Qty Ending	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	SCI FACT ARCHIVED	Archived On Hand Sell Dollars Ending	True		LastNonEmpty		SCI_FACT_ARCHIVED	Archived On Hand Sell Dollars Ending	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Available Stock	True		AverageOfChildren		DRA_FACT	Available Stock	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Committed Stock	True		AverageOfChildren		DRA_FACT	Committed Stock	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Counter Stock	True		AverageOfChildren		DRA_FACT	Counter Stock	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	DD	True		AverageOfChildren		DRA_FACT	DD	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Group Lead Time	True		AverageOfChildren		DRA_FACT	Group Lead Time	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Order Point	True		AverageOfChildren		DRA_FACT	Order Point	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Order Strategy	True		AverageOfChildren		DRA_FACT	Order Strategy	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Order Upto Level	True		AverageOfChildren		DRA_FACT	Order Upto Level	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Raw Order Qty	True		AverageOfChildren		DRA_FACT	Raw Order Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Resultant Base Index	True		AverageOfChildren		DRA_FACT	Resultant Base Index	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Safety Stock	True		AverageOfChildren		DRA_FACT	Safety Stock	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	DRA FACT	Total Order Quantity	True		Sum		DRA_FACT	Total Order Quantity	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	CALCULATED FACT	Curr Forecast Qty	True		Sum		CALCULATED_FACT	Metrics	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	CALCULATED FACT	4 Wk Forecast Qty	True		Sum		CALCULATED_FACT	Metrics	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	Calendar	Day Count	False	$#,##0	Count		CALENDAR		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	WEEKLY FORECAST	Weekly Forecast Qty	True		Sum		WEEKLY_FORECAST	Forecast	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	FACT PRODUCT	Avg Cost Units	True		None		FACT_ITEM	Avg Unit Sales Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	FACT PRODUCT	Item Count	True	#,###	Count		FACT_ITEM		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	FACT PRODUCT	Vendor Pack Qty	True		None		FACT_ITEM	Vendor Pack Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	FACT STORE	Store Count	True	#,###	Count		FACT_STORE		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT WEEKLY	Store Sales Weekly Count	True	#,###	Count		STORE_SALES_WEEKLY		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT WEEKLY	Total POS Count Weekly	True	#,###	Count		STORE_SALES_WEEKLY		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT WEEKLY	Total Unit Sold Weekly	True		Sum		STORE_SALES_WEEKLY	Total Unit Sold Weekly	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT WEEKLY	Total Sell Dollars Weekly	True		Sum		STORE_SALES_WEEKLY	Total Sell Dollars Weekly	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT WEEKLY	Avg On Hand Qty Weekly	True		AverageOfChildren		STORE_SALES_WEEKLY	Avg On Hand Qty Weekly	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT WEEKLY	Total Cost Dollars Weekly	True		Sum		STORE_SALES_WEEKLY	Total Cost Dollars Weekly	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Store Sales Count	True	#,###	Count		STORE_SALES_DAILY		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Total POS Count Daily	False	#,###	Count		STORE_SALES_DAILY		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Total Unit Sold Daily	True		Sum		STORE_SALES_DAILY	Total Unit Sold Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Total Sell Dollars Daily	True		Sum		STORE_SALES_DAILY	Total Sell Dollars Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Avg On Hand Qty Daily	True		AverageOfChildren		STORE_SALES_DAILY	Avg On Hand Qty Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Total Cost Dollars Daily	True		Sum		STORE_SALES_DAILY	Total Cost Dollars Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Last Scan Date Internal	True		Max		STORE_SALES_DAILY	Scan Date	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	First Scan Date Internal	True		Min		STORE_SALES_DAILY	Scan Date	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Last Plan Date Internal	True		Max		STORE_SALES_DAILY	PERIOD_KEY	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	First Plan Date Internal	True		Min		STORE_SALES_DAILY	PERIOD_KEY	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Avg On Hand Cases	True		AverageOfChildren		STORE_SALES_DAILY	Avg On Hand Cases	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	Hist On Hand Qty Ending	True		LastNonEmpty		STORE_SALES_DAILY	Hist On Hand Qty Ending	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	POS Margin	True		Sum		STORE_SALES_DAILY	POS Margin	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	POS Cases	True		Sum		STORE_SALES_DAILY	POS Cases	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT DAILY	POS Qty Equivalent Units	True		Sum		STORE_SALES_DAILY	POS Qty Equivalent Units	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY Total Unit Sold	False		Sum		LY_STORE_SALES	Total Unit Sold Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY Total Sell Dollars	False		Sum		LY_STORE_SALES	Total Sell Dollars Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY Avg On Hand Qty	False		AverageOfChildren		LY_STORE_SALES	Avg On Hand Qty Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY Total Cost Dollars	False		Sum		LY_STORE_SALES	Total Cost Dollars Daily	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY POS Cases	False		Sum		LY_STORE_SALES	POS Cases	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY POS Qty Equivalent Units	True		Sum		LY_STORE_SALES	POS Qty Equivalent Units	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE SALES	LY Avg On Hand Cases	True		AverageOfChildren		LY_STORE_SALES	Avg On Hand Cases	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Last Scan Date	True	Short Date		Supply Chain\Points of Distribution			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		First Scan Date Internalxx	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	First Scan Date	True	Short Date		Supply Chain\Points of Distribution			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Total POS Count	True						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Last Week POS Qty per Week	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Last 4 Weeks POS Qty per Week	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Last Week POS Qty per Week Cases	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Last 4 Weeks POS Qty per Week Cases	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Period Last Date	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Period Last Date Filter	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT		Total Sales Amount	False						Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	% Clubs Scanning	True	Percent		Sales\Scanning			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	% Items Scanning	True	Percent		Sales\Scanning			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	% Traited Stores Not Scanning	True	Percent		Supply Chain\Points of Distribution			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Traited Stores Not Scanning	True	#,##0		Supply Chain\Points of Distribution			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Annualized POS Qty	True	#,##0					Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Annualized POS Qty Cases	True	#,##0					Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Average Price Units	True	#,##0.00		Sales\Pricing			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Average Price Cases	True	#,##0.00		Sales\Pricing			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Club and DC Turns Units	True	#,##0.0		Supply Chain\Turns			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Club Turns Units	True	#,##0.0		Supply Chain\Turns			Calculated Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Club Turns Cases	True	#,##0.0		Supply Chain\Turns			Calculated Measure
