,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
147,300396,迪瑞医疗,1.66,20.29,5.47,35.75,0.85,7631.06,26.37,,08-20
148,603306,华懋科技,0.67,,,31.09,0.54,7075.8,,,08-20
149,603026,石大胜华,0.77,20.31,4.68,18.03,1.29,11691.22,30.4,,08-14
150,603609,禾丰牧业,0.57,39.02,,21.85,1.09,26985.54,40.09,,07-18
151,300391,康跃科技,0.74,19.35,2.89,28.9,0.61,3713.32,20.53,,07-15
152,603111,康尼机电,0.59,-28.05,,42.65,0.1,12369.64,26.62,,07-15
153,300390,天华超净,0.45,32.35,2.15,23.04,0.3,2640.31,46.81,,07-15
154,603100,川仪股份,0.6,39.53,3.44,23.39,-0.3,17581.48,38.52,,07-15
155,300389,艾比森,0.92,16.58,2.58,43.96,1.07,5792.2,22.61,,07-15
156,603099,长白山,0.32,146.15,1.53,22.5,0.55,6497.32,146.86,,07-15
157,300388,国祯环保,0.86,21.13,,16.97,-0.56,5696.64,20.42,,07-15
158,300384,三联虹普,1.44,,2.93,63.74,2.11,5761.0,,,07-15
159,601579,会稽山,0.37,85.0,,15.4,,11127.44,83.0,,07-15
160,002728,台城制药,0.93,40.91,3.01,35.85,0.93,6969.49,45.24,,07-15
161,603126,中材节能,0.69,0.9,,30.93,-0.27,22434.79,1.6,,07-15
162,603322,超讯通信,0.64,,2.16,35.97,0.27,3839.76,,,06-30
163,603566,普莱柯,0.96,,,45.5,1.27,11537.61,37.37,,06-30
164,300481,濮阳惠成,0.54,,1.93,35.0,0.32,3129.29,,,06-30
165,603989,艾华集团,0.65,27.45,3.14,22.98,0.16,9675.1,31.87,,06-30
166,300458,全志科技,0.53,,1.96,79.93,0.91,5891.51,,,06-30
167,002756,永兴特钢,1.54,-3.14,,23.95,2.62,23166.9,-2.65,,06-30
168,300394,天孚通信,0.81,,2.55,46.09,0.39,4798.46,,,06-27
169,300459,金科娱乐,0.57,,3.67,17.68,1.02,4565.62,,,06-27
170,300487,蓝晓科技,0.79,,3.84,28.1,0.7,4731.91,,,06-27
171,300451,创业软件,0.94,,4.25,25.64,0.71,4716.25,,,06-27
172,603968,醋化股份,0.95,,,18.89,0.17,6748.33,,,06-27
173,300457,赢合科技,0.55,,1.95,34.73,0.1,3194.52,,,06-27
174,603669,灵康药业,,,,54.87,,5575.38,,,06-27
175,300515,三德科技,0.46,,1.62,31.67,0.08,3424.21,,,06-27
176,300493,润欣科技,,,2.2,31.28,-0.33,3858.99,,,06-26
177,002748,世龙实业,1.0,55.68,3.56,32.85,0.95,8973.59,55.66,,06-26
178,300427,红相电力,0.71,,3.05,25.47,0.01,4703.24,,,06-26
179,002782,可立克,0.53,-8.43,2.28,26.49,0.43,6717.29,5.65,,06-26
180,300502,新易盛,0.95,,3.24,38.66,0.83,5257.48,,,06-25
181,603398,邦宝益智,0.7,,,60.7,1.58,4046.67,,,06-25
182,603016,新宏泰,0.56,,2.08,30.32,0.51,6262.95,,,06-25
183,603778,乾景园林,0.9,,3.76,40.79,-1.05,5102.0,,,06-24
184,603737,三棵树,0.74,,3.83,21.9,0.8,5515.8,,,06-24
185,300434,金石东方,1.06,,2.07,61.12,1.03,5397.06,,,06-23
186,300488,恒锋工具,1.31,,3.14,52.83,0.62,6554.06,,,06-23
187,002765,蓝黛传动,0.7,,2.49,29.39,0.37,10935.27,,,06-23
188,002805,丰元股份,0.7,,,16.11,0.66,4920.06,,,06-19
189,002785,万里石,0.35,,,13.24,0.15,5320.54,,,06-18
190,603598,引力传媒,0.4,,1.61,41.16,0.3,4024.82,,,06-16
191,300387,富邦股份,0.94,17.5,3.68,29.96,0.29,4488.17,24.02,,06-16
192,600977,中国电影,0.37,,1.68,23.83,0.8,51468.72,,,06-16
193,603300,华铁科技,0.45,,2.82,21.47,0.24,6212.83,,,06-16
