code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300340,科恒股份,元器件,广东,826.27,7813.24,10000.0,103496.4,68276.65,16180.12,51351.6,5.14,0.022,7.97,9.2,20120726
300518,盛讯达,软件服务,深圳,202.41,2334.0,9334.0,55804.0,37672.23,924.89,5055.6,0.54,0.193,7.19,21.75,20160624
600736,苏州高新,园区开发,江苏,22.36,113895.09,119429.29,2087378.25,1649267.5,155204.02,176804.19,1.48,0.221,4.3,2.3,19960815
600739,辽宁成大,商贸代理,辽宁,24.6,136470.98,152970.98,3191268.5,457095.09,354916.53,614331.0,4.02,0.191,11.45,1.64,19960819
000039,中集集团,轻工机械,深圳,27.14,126092.13,297836.38,11322772.0,4720378.0,2108264.5,311692.81,1.05,0.13,9.76,1.53,19940408
300395,菲利华,玻璃,湖北,64.11,13860.66,19680.0,95525.61,65075.11,14986.24,19935.73,1.01,0.222,3.72,7.64,20140910
600605,汇通能源,商贸代理,上海,227.32,14734.45,14734.45,127032.82,52061.85,58007.36,17890.89,1.21,0.023,3.79,5.42,19920327
300196,长海股份,玻璃,江苏,46.34,10693.03,21224.8,231351.22,85011.25,114911.57,45688.05,2.15,0.228,6.99,6.06,20110329
601618,中国中冶,建筑施工,北京,14.17,1623900.0,1911000.0,34333008.0,27542044.0,2974359.5,1782884.75,0.93,0.071,3.24,1.25,20090921
002087,新野纺织,纺织,河南,82.53,51962.66,62830.32,669089.75,362468.13,218366.55,60063.68,0.96,0.026,3.92,2.19,20061130
600405,动力源,电气设备,北京,0.0,42389.28,43794.28,230692.66,151117.0,48504.45,16421.38,0.37,-0.061,1.77,7.46,20040401
600432,*ST吉恩,小金属,吉林,0.0,81112.15,160372.39,1769447.75,615683.31,896239.38,625205.69,3.9,-0.122,3.15,2.44,20030905
002660,茂硕电源,电气设备,深圳,288.52,19165.22,27703.06,203518.47,119595.02,46705.2,46949.76,1.69,0.027,3.15,4.87,20120316
600080,金花股份,中成药,陕西,296.16,30529.58,30529.58,125824.7,47669.87,37185.4,25259.85,0.83,0.01,3.43,3.44,19970612
600802,福建水泥,水泥,福建,0.0,38187.37,38187.37,474572.41,52383.55,264778.22,21390.35,0.56,-0.287,2.02,4.32,19940103
600834,申通地铁,公共交通,上海,98.55,47738.19,47738.19,259059.7,6737.28,136574.13,7974.25,0.17,0.039,2.99,5.17,19940224
600419,天润乳业,乳制品,新疆,82.67,8021.08,10355.71,110256.57,41687.87,42141.78,60704.13,5.86,0.186,6.56,9.37,20010628
600520,*ST中发,机械基件,安徽,0.0,15389.0,15843.0,75077.86,28820.06,15053.77,37950.73,2.4,-0.059,2.57,7.23,20020108
600382,广东明珠,商贸代理,广东,24.63,34174.66,34174.66,337194.31,174664.02,5511.5,9316.7,0.27,0.357,8.04,2.19,20010118
600597,光明乳业,乳制品,上海,39.2,122430.2,123063.67,1564886.75,759859.88,533449.06,177058.02,1.44,0.096,3.8,3.95,20020828
600616,金枫酒业,红黄药酒,上海,23.56,48803.76,51461.92,229575.52,143823.34,38721.15,52993.75,1.03,0.121,3.92,2.91,19920929
601880,大连港,港口,辽宁,67.99,773582.0,1289453.63,3254358.25,971681.19,1432652.25,853139.81,0.66,0.01,1.38,1.89,20101206
002364,中恒电气,电气设备,浙江,69.27,42275.33,52324.23,173689.7,119417.15,24948.65,11740.33,0.22,0.188,2.42,10.73,20100305
002680,长生生物,生物制药,江苏,77.06,12597.0,96939.03,373599.78,306069.5,42905.65,98388.65,1.01,0.132,3.37,6.04,20120605
